key,value1,value2,value3
0xa9cD43766731eEC46419eBcb03769d1d05989B99,1540992,509397.3333,254698.6667
0x720CC90AB054a6CeE11d67853B6AcA069004292d,404380.4249,98155.56185,49077.78092
0x3872B4cdCCe2cD0F460aC9375b242563FC89A891,197119.39,65706.46333,0
0x0178fF12Dd75F46bE0C52da4960FbDD46c689d5D,191904,63968,31984
0x2be8Cf9DAfc5586715c475E478Dff09c96ccD69D,187200,8000,4000
0x1c0aa631b38c936Fa989c064776ad43eE461C75e,180254.9134,35906.01173,17953.00586
0x2De3F5fc81410f96131Ce92DF9Da1F4c5A24c4Cd,110591.3041,33455.76804,16727.88402
0xb93828700117606f123B352F4613C89af60B7490,83615.61056,21062.86674,0
0x0415c1a31975befE65d1D86Dc30b2102036B4523,80000,23637.33333,0
0x06d084a0Fe3ac6C9E259f39A4D3f49a91AcbCd32,76800,25600,12800
0x2eA1F48CEa8F89a2E3500D5CAf295C9cf84cEc48,74615.68,21778.56,10889.28
0xbe49742102e191F08abA8024460F408f30cd3736,71500.16,23833.38667,11916.69333
0x7976E258adf10C7785039e0d843A3fF7e1FBe12c,70400,23466.66667,11733.33333
0xFE1EDA8388c4AB076F2F33cFA0853cd58dE4F86e,68368,12656,6328
0xd1D44d1A3F1f113cC13F53Bd45e03693bba7D3b1,67555.2,20065.06667,10032.53333
0x6EB4D4d044E41cC7259f1ce11C0D25267723AF23,64000,20266.66667,10133.33333
0xc29a849851D903f20FfDC4778E7fF7B4f41Aa7f3,63680,6826.666667,3413.333333
0x260E5A3C17DE17161bA368cF358120aCb17fd5E0,61120,11413.33333,5706.666667
0x7c4Fe03ba155Df7aB05f07795879284eB3bAB5aB,60515.81245,19492.47082,9746.235409
0xC924C8bCB5Ba0A8A699BfA4fF0bB9beC24FB8023,57600,19200,0
0x77dfb85f5fb532F6A478afB6f3c45d9CB5D93033,57600,16000,8000
0x3E4C58F155F9cB470B5ae349Ab5289EF4db3ea06,56000,18666.66667,9333.333333
0xF38A688a5be3a31987BcaC1793d507c18391A601,52928.20959,17642.73653,8821.368264
0xdc12d5800F54012aF97b1c64984f94E15aB1Ac86,52220.8,17406.93333,8703.466667
0x9C509966B14D1B2dfDE0c3F9e735129507d4229d,48320,10666.66667,5333.333333
0x2A1E19af4D5a603f2315813A976a7AE60748eE54,48256,8618.666667,4309.333333
0xC5bf81E50ea75E14e505d34D31aA1599924F062E,45980.48,0,0
0x2375bd9E7Dc7Cf12b0561e09F0BC543682d1d176,43840,14613.33333,7306.666667
0x1C5c7a3DFB6163e60b0551d2078050b3457c067a,41600,13866.66667,6933.333333
0x8EB2aA6b1501134210FdC932E28565758b41507d,40774.4,13484.8,6742.4
0x92fE607BCD9Bb08C7644320336C3c75737A1f9eE,32000,8533.333333,4266.666667
0xa32354D0a8Ea515DEe3c130457fE981a7E72003A,29494.4,6400,3200
0xcF5322e11336A7eAA3b7f0214eE86D0D3eaF0960,28800,9600,4800
0xcbb7cdc9497a9E0c18d0edD2536C7D98B2063D74,25920,8533.333333,4266.666667
0x96A18835b89e6ef5A8883a29a99DEeCF5F610f56,24113.24895,734.1072849,367.0536425
0x1b309003349e2cd8404Bb830aCD66B321a544f54,24000,8000,4000
0xD9E5eAAF0AF150D5517fD26b2F3E84900ad58632,23680,3413.333333,1706.666667
0xcE5EeA731dfA2BAA5395320c91f158B2d0f2b777,23196.04109,4318.680364,2159.340182
0x06Ff33410C66352B21BdC96D4596F367f1Fa0F79,22720,0,0
0x50e874C39021Aa781a784a01988ef5e94740c178,22720,6506.666667,3253.333333
0xfD24799A0E6d957F51e771146e9d9A3e7863dce3,22336,7445.333333,3722.666667
0xfF62B266424811783B2E9C82A97A1ca287e4FB10,21460.80479,4345.65808,2172.82904
0x0b55d01CF1896185dEA27D24e69A77c73C351bA2,21120,7040,3520
0xf9CAdE2231e3A5AC4834A78Ac1A7C33CE5F89184,20568.6576,6856.219198,3428.109599
0xdd9edEb5F9ca193098724a83368BF6D9C1952c40,19840,1280,640
0xCF700a41A7bA04b0BD31e7Ae77BC393933AD6c77,19615.68,6538.56,3269.28
0x543953862045F8D25fC4384C7bc5D1d017eBb2c4,19405.71147,5068.535124,2534.267562
0xE7a859E936954D85262979F3311c8e96e46BC37F,18738.1852,6246.061735,3123.030867
0xc79bEC7b40b1D3ffc6aC76a7D833fce7c6Ff643b,18457.6,6152.533333,3076.266667
0x9ef174d3c3612dD840623856B65023Ad8Ba40bCA,18402.56,6134.186667,3067.093333
0x2d3547E0B06e16f15b51aD4Cc6eE2B2fc62021fa,18387.61586,6129.205287,3064.602644
0xD86a8bbe0a7d62870d53B22199D7693827B0759E,18240,746.6666667,373.3333333
0x036DBf06c4A7e82dc081520bA487802A764F6111,16525.33631,4959.965438,0
0x3ba178Ea1A3298Ec5b977F9C7Ba1248c2e375EA5,16000,5333.333333,2666.666667
0xbbe7dE345d42DbfFfe59e9d256EA973B31Be49ac,14657.37885,4885.79295,2442.896475
0x931880eDe29E1b0705E2DF03074513ba6F229B02,12803.2,4267.733333,0
